"url","content"
"https://docs.spring.io/spring-session/reference/3.0/whats-new.html","For the latest stable version, please use Spring Session 3.3.2(../whats-new.html) ! What’s New:"
"https://docs.spring.io/spring-session/reference/3.0/samples.html","For the latest stable version, please use Spring Session 3.3.2(../samples.html) ! Samples and Guides (Start Here): To get started with Spring Session, the best place to start is our Sample Applications. Table 1. Sample Applications that use Spring Boot Source Description Guide HttpSession with Redis(https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-boot-redis) Demonstrates how to use Spring Session to replace the HttpSession with Redis. HttpSession with Redis Guide(guides/boot-redis.html) HttpSession with JDBC(https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-boot-jdbc) Demonstrates how to use Spring Session to replace the HttpSession with a relational database store. HttpSession with JDBC Guide(guides/boot-jdbc.html) HttpSession with Hazelcast(https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-boot-hazelcast) Demonstrates how to use Spring Session to replace the HttpSession with Hazelcast. Find by Username(https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-boot-findbyusername) Demonstrates how to use Spring Session to find sessions by username. Find by Username Guide(guides/boot-findbyusername.html) WebSockets(https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-boot-websocket) Demonstrates how to use Spring Session with WebSockets. WebSockets Guide(guides/boot-websocket.html) WebFlux(https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-boot-webflux) Demonstrates how to use Spring Session to replace the Spring WebFlux’s WebSession with Redis. WebFlux with Custom Cookie(https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-boot-webflux-custom-cookie) Demonstrates how to use Spring Session to customize the Session cookie in a WebFlux based application. WebFlux with Custom Cookie Guide(guides/boot-webflux-custom-cookie.html) HttpSession with Redis JSON serialization(https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-boot-redis-json) Demonstrates how to use Spring Session to replace the HttpSession with Redis using JSON serialization. Spring Session with MongoDB Repositories (servlet-based)(https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-boot-mongodb-traditional) Demonstrates how to back Spring Session with traditional MongoDB repositories. Spring Session with MongoDB Repositories(guides/boot-mongo.html) Spring Session with MongoDB Repositories (reactive)(https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-boot-mongodb-reactive) Demonstrates how to back Spring Session with reactive MongoDB repositories. Spring Session with MongoDB Repositories(guides/boot-mongo.html) Table 2. Sample Applications that use Spring Java-based configuration Source Description Guide HttpSession with Redis(https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-javaconfig-redis) Demonstrates how to use Spring Session to replace the HttpSession with Redis. HttpSession with Redis Guide(guides/java-redis.html) HttpSession with JDBC(https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-javaconfig-jdbc) Demonstrates how to use Spring Session to replace the HttpSession with a relational database store. HttpSession with JDBC Guide(guides/java-jdbc.html) HttpSession with Hazelcast(https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-javaconfig-hazelcast) Demonstrates how to use Spring Session to replace the HttpSession with Hazelcast. HttpSession with Hazelcast Guide(guides/java-hazelcast.html) Custom Cookie(https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-javaconfig-custom-cookie) Demonstrates how to use Spring Session and customize the cookie. Custom Cookie Guide(guides/java-custom-cookie.html) Spring Security(https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-javaconfig-security) Demonstrates how to use Spring Session with an existing Spring Security application. Spring Security Guide(guides/java-security.html) REST(https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-javaconfig-rest) Demonstrates how to use Spring Session in a REST application to support authenticating with a header. REST Guide(guides/java-rest.html) Table 3. Sample Applications that use Spring XML-based configuration Source Description Guide HttpSession with Redis(https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-xml-redis) Demonstrates how to use Spring Session to replace the HttpSession with a Redis store. HttpSession with Redis Guide(guides/xml-redis.html) HttpSession with JDBC(https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-xml-jdbc) Demonstrates how to use Spring Session to replace the HttpSession with a relational database store. HttpSession with JDBC Guide(guides/xml-jdbc.html) Table 4. Miscellaneous sample Applications Source Description Guide Hazelcast(https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-misc-hazelcast) Demonstrates how to use Spring Session with Hazelcast in a Java EE application."
"https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-boot-redis-json",""
"https://docs.spring.io/spring-session/reference/3.0/guides/boot-redis.html","For the latest stable version, please use Spring Session 3.3.2(../../guides/boot-redis.html) ! Spring Session - Spring Boot: This guide describes how to use Spring Session to transparently leverage Redis to back a web application’s HttpSession when you use Spring Boot. You can find the completed guide in the boot sample application(#boot-sample) . Index(../index.html) Updating Dependencies: Before you use Spring Session with Redis, you must ensure that you have the right dependencies. We assume you are working with a working Spring Boot web application. pom.xml <dependencies> <!-- ... --> <dependency> <groupId>org.springframework.session</groupId> <artifactId>spring-session-data-redis</artifactId> </dependency> </dependencies> build.gradle implementation(""org.springframework.session:spring-session-data-redis"") Spring Boot provides dependency management for Spring Session modules, so you need not explicitly declare dependency version. Spring Boot Configuration: After adding the required dependencies, we can create our Spring Boot configuration. Thanks to first-class auto-configuration support, setting up Spring Session backed by Redis is as simple as adding a single configuration property to your application.properties , as the following listing shows: src/main/resources/application.properties spring.session.store-type=redis # Session store type. Under the hood, Spring Boot applies configuration that is equivalent to manually adding @EnableRedisHttpSession annotation. This creates a Spring bean with the name of springSessionRepositoryFilter that implements Filter . The filter is in charge of replacing the HttpSession implementation to be backed by Spring Session. Further customization is possible by using application.properties , as the following listing shows: src/main/resources/application.properties server.servlet.session.timeout= # Session timeout. If a duration suffix is not specified, seconds is used. spring.session.redis.flush-mode=on_save # Sessions flush mode. spring.session.redis.namespace=spring:session # Namespace for keys used to store sessions. For more information, see the Spring Session(https://docs.spring.io/spring-boot/docs/3.0.7/reference/htmlsingle/#boot-features-session) portion of the Spring Boot documentation. Configuring the Redis Connection: Spring Boot automatically creates a RedisConnectionFactory that connects Spring Session to a Redis Server on localhost on port 6379 (default port). In a production environment, you need to update your configuration to point to your Redis server. For example, you can include the following in your application.properties: src/main/resources/application.properties spring.data.redis.host=localhost # Redis server host. spring.data.redis.password= # Login password of the redis server. spring.data.redis.port=6379 # Redis server port. For more information, see the Connecting to Redis(https://docs.spring.io/spring-boot/docs/3.0.7/reference/htmlsingle/#boot-features-connecting-to-redis) portion of the Spring Boot documentation. Servlet Container Initialization: Our Spring Boot Configuration(#boot-spring-configuration) created a Spring bean named springSessionRepositoryFilter that implements Filter . The springSessionRepositoryFilter bean is responsible for replacing the HttpSession with a custom implementation that is backed by Spring Session. In order for our Filter to do its magic, Spring needs to load our Config class. Last, we need to ensure that our servlet container (that is, Tomcat) uses our springSessionRepositoryFilter for every request. Fortunately, Spring Boot takes care of both of these steps for us. Boot Sample Application: The Boot Sample Application demonstrates how to use Spring Session to transparently leverage Redis to back a web application’s HttpSession when you use Spring Boot. Running the Boot Sample Application: You can run the sample by obtaining the source code(https://github.com/spring-projects/spring-session/archive/3.0.4.zip) and invoking the following command: $ ./gradlew :spring-session-sample-boot-redis:bootRun For the sample to work, you must install Redis 2.8+(https://redis.io/download) on localhost and run it with the default port (6379). Alternatively, you can update the RedisConnectionFactory to point to a Redis server. Another option is to use Docker(https://www.docker.com/) to run Redis on localhost. See Docker Redis repository(https://hub.docker.com/_/redis/) for detailed instructions. You should now be able to access the application at localhost:8080/(http://localhost:8080/) Exploring the security Sample Application: Now you can try using the application. Enter the following to log in: Username user Password password Now click the Login button. You should now see a message indicating you are logged in with the user entered previously. The user’s information is stored in Redis rather than Tomcat’s HttpSession implementation. How Does It Work?: Instead of using Tomcat’s HttpSession , we persist the values in Redis. Spring Session replaces the HttpSession with an implementation that is backed by Redis. When Spring Security’s SecurityContextPersistenceFilter saves the SecurityContext to the HttpSession , it is then persisted into Redis. When a new HttpSession is created, Spring Session creates a cookie named SESSION in your browser. That cookie contains the ID of your session. You can view the cookies (with Chrome(https://developers.google.com/web/tools/chrome-devtools/manage-data/cookies) or Firefox(https://developer.mozilla.org/en-US/docs/Tools/Storage_Inspector) ). You can remove the session by using redis-cli. For example, on a Linux based system you can type the following: $ redis-cli keys '*' | xargs redis-cli del The Redis documentation has instructions for installing redis-cli(https://redis.io/topics/quickstart) . Alternatively, you can also delete the explicit key. To do so, enter the following into your terminal, being sure to replace 7e8383a4-082c-4ffe-a4bc-c40fd3363c5e with the value of your SESSION cookie: $ redis-cli del spring:session:sessions:7e8383a4-082c-4ffe-a4bc-c40fd3363c5e Now you can visit the application at localhost:8080/(http://localhost:8080/) and observe that we are no longer authenticated."
"https://docs.spring.io/spring-session/reference/3.0/guides/boot-mongo.html","For the latest stable version, please use Spring Session 3.3.2(../../guides/boot-mongo.html) ! Spring Session - MongoDB Repositories: This guide describes how to use Spring Session backed by MongoDB. The completed guide can be found in the mongo sample application(#mongo-sample) . Index(../index.html) Updating Dependencies: Before you use Spring Session MongoDB, you must ensure to update your dependencies. We assume you are working with a working Spring Boot web application. If you are using Maven, ensure to add the following dependencies: pom.xml <dependencies> <!-- ... --> <dependency> <groupId>org.springframework.session</groupId> <artifactId>spring-session-data-mongodb</artifactId> </dependency> </dependencies> Spring Configuration: After adding the required dependencies, we can create our Spring configuration. The Spring configuration is responsible for creating a Servlet Filter that replaces the HttpSession implementation with an implementation backed by Spring Session. All you have to do is to add the following Spring Configuration: @Configuration(proxyBeanMethods = false) @EnableMongoHttpSession (1) public class HttpSessionConfig { @Bean public JdkMongoSessionConverter jdkMongoSessionConverter() { return new JdkMongoSessionConverter(Duration.ofMinutes(30)); (2) } } 1 The @EnableMongoHttpSession annotation creates a Spring Bean with the name of springSessionRepositoryFilter that implements Filter. This filter is what replaces the default HttpSession with the MongoDB-backed bean. 2 Configures the session timeout to 30 minutes. Configuring the MongoDB Connection: Spring Boot automatically creates a MongoClient that connects Spring Session to a MongoDB Server on localhost on port 27017 (default port). In a production environment you need to ensure to update your configuration to point to your MongoDB server. For example, you can include the following in your application.properties src/main/resources/application.properties spring.data.mongodb.host=mongo-srv spring.data.mongodb.port=27018 spring.data.mongodb.database=prod For more information, refer to Connecting to MongoDB(https://docs.spring.io/spring-boot/docs/current/reference/htmlsingle/#boot-features-connecting-to-mongodb) portion of the Spring Boot documentation. Servlet Container Initialization: Our Spring Configuration(#boot-mongo-configuration) created a Spring Bean named springSessionRepositoryFilter that implements Filter . The springSessionRepositoryFilter bean is responsible for replacing the HttpSession with a custom implementation that is backed by Spring Session. In order for our Filter to do its magic, Spring needs to load our Config class. Last we need to ensure that our Servlet Container (i.e. Tomcat) uses our springSessionRepositoryFilter for every request. Fortunately, Spring Boot takes care of both of these steps for us. MongoDB Sample Application: The MongoDB Sample Application demonstrates how to use Spring Session to transparently leverage MongoDB to back a web application’s HttpSession when using Spring Boot. Running the MongoDB Sample Application: You can run the sample by obtaining the source code(https://github.com/spring-projects/spring-session/archive/3.0.4.zip) and invoking the following command: $ ./gradlew :samples:mongo:bootRun You should now be able to access the application at localhost:8080/(http://localhost:8080/) Exploring the security Sample Application: Try using the application. Enter the following to log in: Username user Password password Now click the Login button. You should now see a message indicating your are logged in with the user entered previously. The user’s information is stored in MongoDB rather than Tomcat’s HttpSession implementation. How does it work?: Instead of using Tomcat’s HttpSession , we are actually persisting the values in Mongo. Spring Session replaces the HttpSession with an implementation that is backed by Mongo. When Spring Security’s SecurityContextPersistenceFilter saves the SecurityContext to the HttpSession it is then persisted into Mongo. When a new HttpSession is created, Spring Session creates a cookie named SESSION in your browser that contains the id of your session. Go ahead and view the cookies (click for help with Chrome(https://developer.chrome.com/devtools/docs/resources#cookies) or Firefox(https://getfirebug.com/wiki/index.php/Cookies_Panel#Cookies_List) ). If you like, you can easily inspect the session using mongo client. For example, on a Linux based system you can type: The sample application uses an embedded MongoDB instance that listens on a randomly allocated port. The port used by embedded MongoDB together with exact command to connect to it is logged during application startup. $ mongo --port ... > use test > db.sessions.find().pretty() Alternatively, you can also delete the explicit key. Enter the following into your terminal ensuring to replace 60f17293-839b-477c-bb92-07a9c3658843 with the value of your SESSION cookie: > db.sessions.remove({""_id"":""60f17293-839b-477c-bb92-07a9c3658843""}) Now visit the application at localhost:8080/(http://localhost:8080/) and observe that we are no longer authenticated."
"https://docs.spring.io/spring-session/reference/3.0/guides/boot-jdbc.html","For the latest stable version, please use Spring Session 3.3.2(../../guides/boot-jdbc.html) ! Spring Session - Spring Boot: This guide describes how to use Spring Session to transparently leverage a relational database to back a web application’s HttpSession when you use Spring Boot. You can find the completed guide in the httpsession-jdbc-boot sample application(#httpsession-jdbc-boot-sample) . Index(../index.html) Updating Dependencies: Before you use Spring Session, you must update your dependencies. We assume you are working with a working Spring Boot web application. If you use Maven, you must add the following dependencies: pom.xml <dependencies> <!-- ... --> <dependency> <groupId>org.springframework.session</groupId> <artifactId>spring-session-jdbc</artifactId> </dependency> </dependencies> Spring Boot provides dependency management for Spring Session modules, so you need not explicitly declare the dependency version. Spring Boot Configuration: After adding the required dependencies, we can create our Spring Boot configuration. Thanks to first-class auto configuration support, setting up Spring Session backed by a relational database is as simple as adding a single configuration property to your application.properties . The following listing shows how to do so: src/main/resources/application.properties spring.session.store-type=jdbc # Session store type. If a single Spring Session module is present on the classpath, Spring Boot uses that store implementation automatically. If you have more than one implementation, you must choose the StoreType that you wish to use to store the sessions, as shows above. Under the hood, Spring Boot applies configuration that is equivalent to manually adding the @EnableJdbcHttpSession annotation. This creates a Spring bean with the name of springSessionRepositoryFilter . That bean implements Filter . The filter is in charge of replacing the HttpSession implementation to be backed by Spring Session. You can further customize by using application.properties . The following listing shows how to do so: src/main/resources/application.properties server.servlet.session.timeout= # Session timeout. If a duration suffix is not specified, seconds are used. spring.session.jdbc.initialize-schema=embedded # Database schema initialization mode. spring.session.jdbc.schema=classpath:org/springframework/session/jdbc/schema-@@platform@@.sql # Path to the SQL file to use to initialize the database schema. spring.session.jdbc.table-name=SPRING_SESSION # Name of the database table used to store sessions. For more information, see the Spring Session(https://docs.spring.io/spring-boot/docs/3.0.7/reference/htmlsingle/#boot-features-session) portion of the Spring Boot documentation. Configuring the DataSource: Spring Boot automatically creates a DataSource that connects Spring Session to an embedded instance of an H2 database. In a production environment, you need to update your configuration to point to your relational database. For example, you can include the following in your application.properties: src/main/resources/application.properties spring.datasource.url= # JDBC URL of the database. spring.datasource.username= # Login username of the database. spring.datasource.password= # Login password of the database. For more information, see the Configure a DataSource(https://docs.spring.io/spring-boot/docs/3.0.7/reference/htmlsingle/#boot-features-configure-datasource) portion of the Spring Boot documentation. Servlet Container Initialization: Our Spring Boot Configuration(#httpsession-jdbc-boot-spring-configuration) created a Spring bean named springSessionRepositoryFilter that implements Filter . The springSessionRepositoryFilter bean is responsible for replacing the HttpSession with a custom implementation that is backed by Spring Session. In order for our Filter to do its magic, Spring needs to load our Config class. Last, we need to ensure that our Servlet Container (that is, Tomcat) uses our springSessionRepositoryFilter for every request. Fortunately, Spring Boot takes care of both of these steps for us. httpsession-jdbc-boot Sample Application: The httpsession-jdbc-boot Sample Application demonstrates how to use Spring Session to transparently leverage an H2 database to back a web application’s HttpSession when you use Spring Boot. Running the httpsession-jdbc-boot Sample Application: You can run the sample by obtaining the source code(https://github.com/spring-projects/spring-session/archive/3.0.4.zip) and invoking the following command: $ ./gradlew :spring-session-sample-boot-jdbc:bootRun You should now be able to access the application at localhost:8080/(http://localhost:8080/) Exploring the Security Sample Application: You can now try using the application. To do so, enter the following to log in: Username user Password password Now click the Login button. You should now see a message indicating that your are logged in with the user entered previously. The user’s information is stored in the H2 database rather than Tomcat’s HttpSession implementation. How Does It Work?: Instead of using Tomcat’s HttpSession , we persist the values in the H2 database. Spring Session replaces the HttpSession with an implementation that is backed by a relational database. When Spring Security’s SecurityContextPersistenceFilter saves the SecurityContext to the HttpSession , it is then persisted into the H2 database. When a new HttpSession is created, Spring Session creates a cookie named SESSION in your browser. That cookie contains the ID of your session. You can view the cookies (with Chrome(https://developers.google.com/web/tools/chrome-devtools/manage-data/cookies) or Firefox(https://developer.mozilla.org/en-US/docs/Tools/Storage_Inspector) ). You can remove the session by using the H2 web console available at: localhost:8080/h2-console/(http://localhost:8080/h2-console/) (use jdbc:h2:mem:testdb for JDBC URL). Now you can visit the application at localhost:8080/(http://localhost:8080/) and see that we are no longer authenticated."
"https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-boot-hazelcast",""
"https://docs.spring.io/spring-session/reference/3.0/guides/boot-findbyusername.html","For the latest stable version, please use Spring Session 3.3.2(../../guides/boot-findbyusername.html) ! Spring Session - find by username: This guide describes how to use Spring Session to find sessions by username. You can find the completed guide in the findbyusername application(#findbyusername-sample) . Index(../index.html) Assumptions: The guide assumes you have already added Spring Session to your application by using the built-in Redis configuration support. The guide also assumes you have already applied Spring Security to your application. However, we the guide is somewhat general purpose and can be applied to any technology with minimal changes, which we discuss later in the guide. If you need to learn how to add Spring Session to your project, see the listing of samples and guides(../#samples) About the Sample: Our sample uses this feature to invalidate the users session that might have been compromised. Consider the following scenario: User goes to library and authenticates to the application. User goes home and realizes they forgot to log out. User can log in and end the session from the library using clues like the location, created time, last accessed time, and so on. Would it not be nice if we could let the user invalidate the session at the library from any device with which they authenticate? This sample demonstrates how this is possible. Using FindByIndexNameSessionRepository: To look up a user by their username, you must first choose a SessionRepository that implements FindByIndexNameSessionRepository(../#api-findbyindexnamesessionrepository) . Our sample application assumes that the Redis support is already set up, so we are ready to go. Mapping the User Name: FindByIndexNameSessionRepository can find a session only by the user name if the developer instructs Spring Session what user is associated with the Session . You can do so by ensuring that the session attribute with the name FindByUsernameSessionRepository.PRINCIPAL_NAME_INDEX_NAME is populated with the username. Generally speaking, you can do so with the following code immediately after the user authenticates: String username = ""username""; this.session.setAttribute(FindByIndexNameSessionRepository.PRINCIPAL_NAME_INDEX_NAME, username); Mapping the User Name with Spring Security: Since we use Spring Security, the user name is automatically indexed for us. This means we need not perform any steps to ensure the user name is indexed. Adding Additional Data to the Session: It may be nice to associate additional information (such as the IP Address, the browser, location, and other details) to the session. Doing so makes it easier for the user to know which session they are looking at. To do so, determine which session attribute you want to use and what information you wish to provide. Then create a Java bean that is added as a session attribute. For example, our sample application includes the location and access type of the session, as the following listing shows: public class SessionDetails implements Serializable { private String location; private String accessType; public String getLocation() { return this.location; } public void setLocation(String location) { this.location = location; } public String getAccessType() { return this.accessType; } public void setAccessType(String accessType) { this.accessType = accessType; } private static final long serialVersionUID = 8850489178248613501L; } We then inject that information into the session on each HTTP request using a SessionDetailsFilter , as the following example shows: @Override public void doFilterInternal(HttpServletRequest request, HttpServletResponse response, FilterChain chain) throws IOException, ServletException { chain.doFilter(request, response); HttpSession session = request.getSession(false); if (session != null) { String remoteAddr = getRemoteAddress(request); String geoLocation = getGeoLocation(remoteAddr); SessionDetails details = new SessionDetails(); details.setAccessType(request.getHeader(""User-Agent"")); details.setLocation(remoteAddr + "" "" + geoLocation); session.setAttribute(""SESSION_DETAILS"", details); } } We obtain the information we want and then set the SessionDetails as an attribute in the Session . When we retrieve the Session by user name, we can then use the session to access our SessionDetails as we would any other session attribute. You might wonder why Spring Session does not provide SessionDetails functionality out of the box. We have two reasons. The first reason is that it is very trivial for applications to implement this themselves. The second reason is that the information that is populated in the session (and how frequently that information is updated) is highly application-dependent. Finding sessions for a specific user: We can now find all the sessions for a specific user. The following example shows how to do so: @Autowired FindByIndexNameSessionRepository<? extends Session> sessions; @RequestMapping(""/"") public String index(Principal principal, Model model) { Collection<? extends Session> usersSessions = this.sessions.findByPrincipalName(principal.getName()).values(); model.addAttribute(""sessions"", usersSessions); return ""index""; } In our instance, we find all sessions for the currently logged in user. However, you can modify this for an administrator to use a form to specify which user to look up. findbyusername Sample Application: This section describes how to use the findbyusername sample application. Running the findbyusername Sample Application: You can run the sample by obtaining the source code(https://github.com/spring-projects/spring-session/archive/3.0.4.zip) and invoking the following command: $ ./gradlew :spring-session-sample-boot-findbyusername:bootRun For the sample to work, you must install Redis 2.8+(https://redis.io/download) on localhost and run it with the default port (6379). Alternatively, you can update the RedisConnectionFactory to point to a Redis server. Another option is to use Docker(https://www.docker.com/) to run Redis on localhost. See Docker Redis repository(https://hub.docker.com/_/redis/) for detailed instructions. You should now be able to access the application at localhost:8080/(http://localhost:8080/) Exploring the security Sample Application: You can now try using the application. Enter the following to log in: Username user Password password Now click the Login button. You should now see a message indicating your are logged in with the user entered previously. You should also see a listing of active sessions for the currently logged in user. You can emulate the flow we discussed in the About the Sample(#_about_the_sample) section by doing the following: Open a new incognito window and navigate to localhost:8080/(http://localhost:8080/) Enter the following to log in: Username user Password password End your original session. Refresh the original window and see that you are logged out."
"https://docs.spring.io/spring-session/reference/3.0/guides/boot-websocket.html","For the latest stable version, please use Spring Session 3.3.2(../../guides/boot-websocket.html) ! Spring Session - WebSocket: This guide describes how to use Spring Session to ensure that WebSocket messages keep your HttpSession alive. Spring Session’s WebSocket support works only with Spring’s WebSocket support. Specifically,it does not work with using JSR-356(https://www.jcp.org/en/jsr/detail?id=356) directly, because JSR-356 does not have a mechanism for intercepting incoming WebSocket messages. Index(../index.html) HttpSession Setup: The first step is to integrate Spring Session with the HttpSession. These steps are already outlined in the HttpSession with Redis Guide(./boot-redis.html) . Please make sure you have already integrated Spring Session with HttpSession before proceeding. Spring Configuration: In a typical Spring WebSocket application, you would implement WebSocketMessageBrokerConfigurer . For example, the configuration might look something like the following: @Configuration @EnableScheduling @EnableWebSocketMessageBroker public class WebSocketConfig implements WebSocketMessageBrokerConfigurer { @Override public void registerStompEndpoints(StompEndpointRegistry registry) { registry.addEndpoint(""/messages"").withSockJS(); } @Override public void configureMessageBroker(MessageBrokerRegistry registry) { registry.enableSimpleBroker(""/queue/"", ""/topic/""); registry.setApplicationDestinationPrefixes(""/app""); } } We can update our configuration to use Spring Session’s WebSocket support. The following example shows how to do so: src/main/java/samples/config/WebSocketConfig.java @Configuration @EnableScheduling @EnableWebSocketMessageBroker public class WebSocketConfig extends AbstractSessionWebSocketMessageBrokerConfigurer<Session> { (1) @Override protected void configureStompEndpoints(StompEndpointRegistry registry) { (2) registry.addEndpoint(""/messages"").withSockJS(); } @Override public void configureMessageBroker(MessageBrokerRegistry registry) { registry.enableSimpleBroker(""/queue/"", ""/topic/""); registry.setApplicationDestinationPrefixes(""/app""); } } To hook in the Spring Session support we only need to change two things: 1 Instead of implementing WebSocketMessageBrokerConfigurer , we extend AbstractSessionWebSocketMessageBrokerConfigurer 2 We rename the registerStompEndpoints method to configureStompEndpoints What does AbstractSessionWebSocketMessageBrokerConfigurer do behind the scenes? WebSocketConnectHandlerDecoratorFactory is added as a WebSocketHandlerDecoratorFactory to WebSocketTransportRegistration . This ensures a custom SessionConnectEvent is fired that contains the WebSocketSession . The WebSocketSession is necessary to end any WebSocket connections that are still open when a Spring Session is ended. SessionRepositoryMessageInterceptor is added as a HandshakeInterceptor to every StompWebSocketEndpointRegistration . This ensures that the Session is added to the WebSocket properties to enable updating the last accessed time. SessionRepositoryMessageInterceptor is added as a ChannelInterceptor to our inbound ChannelRegistration . This ensures that every time an inbound message is received, that the last accessed time of our Spring Session is updated. WebSocketRegistryListener is created as a Spring bean. This ensures that we have a mapping of all of the Session IDs to the corresponding WebSocket connections. By maintaining this mapping, we can close all the WebSocket connections when a Spring Session (HttpSession) is ended. websocket Sample Application: The websocket sample application demonstrates how to use Spring Session with WebSockets. Running the websocket Sample Application: You can run the sample by obtaining the source code(https://github.com/spring-projects/spring-session/archive/3.0.4.zip) and invoking the following command: $ ./gradlew :spring-session-sample-boot-websocket:bootRun For the purposes of testing session expiration, you may want to change the session expiration to be 1 minute (the default is 30 minutes) by adding the following configuration property before starting the application: src/main/resources/application.properties server.servlet.session.timeout=1m # Session timeout. If a duration suffix is not specified, seconds will be used. For the sample to work, you must install Redis 2.8+(https://redis.io/download) on localhost and run it with the default port (6379). Alternatively, you can update the RedisConnectionFactory to point to a Redis server. Another option is to use Docker(https://www.docker.com/) to run Redis on localhost. See Docker Redis repository(https://hub.docker.com/_/redis/) for detailed instructions. You should now be able to access the application at localhost:8080/(http://localhost:8080/) Exploring the websocket Sample Application: Now you can try using the application. Authenticate with the following information: Username rob Password password Now click the Login button. You should now be authenticated as the user rob . Open an incognito window and access localhost:8080/(http://localhost:8080/) You are prompted with a login form. Authenticate with the following information: Username luke Password password Now send a message from rob to luke. The message should appear. Wait for two minutes and try sending a message from rob to luke again. You can see that the message is no longer sent. Why two minutes? Spring Session expires in 60 seconds, but the notification from Redis is not guaranteed to happen within 60 seconds. To ensure the socket is closed in a reasonable amount of time, Spring Session runs a background task every minute at 00 seconds that forcibly cleans up any expired sessions. This means you need to wait at most two minutes before the WebSocket connection is closed. You can now try accessing localhost:8080/(http://localhost:8080/) You are prompted to authenticate again. This demonstrates that the session properly expires. Now repeat the same exercise, but instead of waiting two minutes, send a message from each of the users every 30 seconds. You can see that the messages continue to be sent. Try accessing localhost:8080/(http://localhost:8080/) You are not prompted to authenticate again. This demonstrates the session is kept alive. Only messages sent from a user keep the session alive. This is because only messages coming from a user imply user activity. Received messages do not imply activity and, thus, do not renew the session expiration."
"https://github.com/spring-projects/spring-session/tree/3.0.4/spring-session-samples/spring-session-sample-boot-webflux",""
