"Spring AI 프로젝트는 어떤 목적을 가지고 있나요?","Spring AI 프로젝트는 인공지능 기능을 불필요한 복잡성 없이 통합하는 애플리케이션 개발을 간소화하는 것을 목표로 합니다. (출처: https://docs.spring.io/spring-ai/reference/1.0-SNAPSHOT/index.html)"
"Spring AI 프로젝트는 어떤 프로그래밍 언어에 초점을 맞추고 있나요?","Spring AI 프로젝트는 Python뿐만 아니라 다양한 프로그래밍 언어에서 사용할 수 있는 범용적인 AI 애플리케이션을 개발하기 위해 만들어졌습니다. (출처: https://docs.spring.io/spring-ai/reference/1.0-SNAPSHOT/index.html)"
"Spring AI는 어떤 종류의 AI 모델과 데이터베이스를 지원하나요?","Spring AI는 OpenAI, Microsoft, Amazon, Google, Hugging Face와 같은 주요 모델 제공업체와 Apache Cassandra, Azure Vector Search, Chroma, Milvus, MongoDB Atlas, Neo4j, Oracle, PostgreSQL/PGVector, PineCone, Qdrant, Redis, Weaviate와 같은 주요 벡터 데이터베이스 제공업체를 지원합니다. (출처: https://docs.spring.io/spring-ai/reference/1.0-SNAPSHOT/index.html)"
"Spring AI에서 지원하는 모델은 어떤 종류가 있나요?","Spring AI는 언어, 이미지, 오디오를 입력 및 출력으로 처리하는 모델을 지원합니다. (출처: https://docs.spring.io/spring-ai/reference/1.0-SNAPSHOT/concepts.html)"
"프롬프트란 무엇이며, AI 모델에서 어떤 역할을 하나요?","프롬프트는 AI 모델을 특정 출력을 생성하도록 안내하는 언어 기반 입력의 기반이 됩니다. 효과적인 프롬프트를 작성하는 것은 예술과 과학의 결합입니다. (출처: https://docs.spring.io/spring-ai/reference/1.0-SNAPSHOT/concepts.html)"
"임베딩이란 무엇이며, AI 모델에서 어떻게 사용되나요?","임베딩은 입력 간의 관계를 포착하는 텍스트, 이미지 또는 비디오의 수치 표현입니다. 임베딩은 AI 모델이 관련 개념을 인식하고 그룹화하는 데 도움이 됩니다. (출처: https://docs.spring.io/spring-ai/reference/1.0-SNAPSHOT/concepts.html)"
"스프링 AI를 사용하기 위해 추천하는 방법은 무엇인가요?","스프링 AI를 사용하기 위해 먼저 Spring Boot 3.2.x 또는 3.3.x를 지원하는 Spring Initializr을 사용하세요. 필요한 AI 모델 및 벡터 스토어를 선택하고, Gradle 또는 Maven을 사용하여 시작하십시오. 시작하려면 start.spring.io를 방문하세요. (출처: <https://docs.spring.io/spring-ai/reference/1.0-SNAPSHOT/getting-started.html>)"
"스프링 AI의 최신 버전을 사용하기 위해 의존성 버전을 관리하는 방법은 무엇인가요?","Spring AI Bill of Materials (BOM)을 사용하여 스프링 AI의 권장 의존성 버전을 선언할 수 있습니다. BOM을 사용하면 직접 의존성 버전을 지정하고 유지할 필요가 없습니다. 대신, 사용하는 BOM의 버전이 활용되는 의존성 버전을 결정합니다. Maven 사용자는 pom.xml 파일에 BOM을 추가하여 사용할 수 있고, Gradle 사용자는 Gradle의 네이티브 지원을 활용하여 BOM을 사용할 수 있습니다. (출처: <https://docs.spring.io/spring-ai/reference/1.0-SNAPSHOT/getting-started.html>)"
"스프링 AI의 샘플 프로젝트를 어떻게 찾을 수 있나요?","GitHub에서 Flight Booking Assistant, AI-powered system that has access to terms and conditions (Retrieval Augmented Generation, RAG), access tools (Java methods) to perform actions (Function Calling) and uses an LLM to interact with the user, OpenAI, Azure OpenAI 등의 샘플 프로젝트를 찾을 수 있습니다. 이러한 프로젝트를 GitHub에서 복제하여 시작할 수 있습니다. (출처: <https://docs.spring.io/spring-ai/reference/1.0-SNAPSHOT/getting-started.html>)"
"Spring AI API는 어떤 핵심 기능을 제공하나요?","Spring AI API는 AI 모델 API, 벡터 스토어 API, 함수 호출 API를 제공합니다. (출처: https://docs.spring.io/spring-ai/reference/1.0-SNAPSHOT/api/index.html)"
"Spring AI의 AI 모델 API는 어떤 기능을 지원하나요?","Spring AI의 AI 모델 API는 채팅, 텍스트에서 이미지로, 오디오 전사, 텍스트에서 음성, 임베딩 모델에 대한 동기 및 스트림 API 옵션을 제공합니다. 또한 모델 특정 기능에 액세스하기 위해 드롭다운을 지원합니다. (출처: https://docs.spring.io/spring-ai/reference/1.0-SNAPSHOT/api/index.html)"
