"Spring Cloud Config란 무엇인가요?","Spring Cloud Config는 분산 시스템에서 외부화된 구성을 위한 서버 측 및 클라이언트 측 지원을 제공하는 도구입니다. (출처: https://docs.spring.io/spring-cloud-config/reference/htmlsingle/)"
"Spring Cloud Config를 사용하여 구성을 관리하는 방법은 무엇인가요?","Spring Cloud Config Server를 사용하여 애플리케이션의 외부 속성을 모든 환경에서 중앙에서 관리할 수 있으며, 클라이언트는 서버에서 속성을 가져옵니다. (출처: https://docs.spring.io/spring-cloud-config/reference/htmlsingle/)"
"Spring Cloud Config의 저장소 백엔드로 사용되는 기본 구현은 무엇인가요?","Spring Cloud Config의 저장소 백엔드로 사용되는 기본 구현은 git입니다. (출처: https://docs.spring.io/spring-cloud-config/reference/htmlsingle/)"
"Spring Config Server에서 Environment 객체를 제공하는 역할을 하는 전략은 무엇인가요?","EnvironmentRepository (출처: https://docs.spring.io/spring-cloud-config/reference/server/environment-repository.html)"
"Environment 객체는 Spring Environment에서 어떤 특징을 가지고 있나요?","propertySources가 주요 특징입니다. (출처: https://docs.spring.io/spring-cloud-config/reference/server/environment-repository.html)"
"Repository 구현은 어떤 동작을 일반적으로 하나요?","Spring Boot 애플리케이션처럼 동작하여, {application} 매개변수와 {profiles} 매개변수에 해당하는 구성 파일을 로드합니다. (출처: https://docs.spring.io/spring-cloud-config/reference/server/environment-repository.html)"
"Spring Cloud Config Server에서 패턴 매칭과 다중 리포지토리를 구성하려면 어떻게 해야 하나요?","패턴 매칭과 다중 리포지토리를 구성하려면, {application} 및 {profile} 매개변수를 사용하여 리포지토리 URI에 와일드카드를 사용할 수 있습니다. 또한, 'special' 문자열을 사용하여 슬래시가 포함된 라벨을 지정할 수 있습니다. 'special' 문자열을 사용하여 여러 조직을 지원할 수도 있습니다. 리포지토리마다 config 파일을 하위 디렉토리에 저장하고, search-paths를 사용하여 해당 디렉토리를 검색할 수도 있습니다. 또한, Config Server의 시작 시 리포지토리를 클론하도록 구성할 수 있습니다. HTTPS proxy 설정은 ~/.git/config 또는 시스템 속성( -Dhttps.proxyHost 및 -Dhttps.proxyPort)으로 설정할 수 있습니다. RSA 키는 PEM 형식이 필요합니다. AWS CodeCommit 및 Google Cloud Source에 대한 인증도 지원됩니다. SSH 구성은 ~/.ssh/known_hosts 및 /etc/ssh/ssh_config를 사용하지만, 클라우드 환경에서는 Java 속성을 사용하여 SSH 구성을 설정할 수 있습니다. Git URI가 AWS CodeCommit 패턴과 일치하는 경우, AWS CodeCommit 자격 증명 공급자가 생성됩니다. Google Cloud Source 자격 증명 공급자는 Git URI가 http 또는 https 프로토콜을 사용하고 도메인 이름이 source.developers.google.com인 경우 사용됩니다. Git 검색 경로에 플레이스홀더를 사용할 수도 있습니다. Git 리포지토리에서 강제 풀을 구성하려면 force-pull 속성을 사용할 수 있습니다. Git 리포지토리에서 추적되지 않은 브랜치를 삭제하려면 deleteUntrackedBranches 속성을 사용할 수 있습니다. Git 갱신 속성을 사용하여 Config Server가 Git 백엔드에서 업데이트된 구성 데이터를 가져올 빈도를 제어할 수 있습니다. Git의 기본 레이블은 main이며, 이 동작을 비활성화하려면 spring.cloud.config.server.git.tryMasterBranch를 false로 설정할 수 있습니다. (출처: <https://docs.spring.io/spring-cloud-config/reference/html/#spring-cloud-config-server-environment-repository-git-backend>)"
"Spring Cloud Config Server에서 SSH 구성을 구성하려면 어떻게 해야 하나요?","Spring Cloud Config Server에서 SSH 구성을 구성하려면, ~/.ssh/known_hosts 및 /etc/ssh/ssh_config를 사용하거나 Java 속성을 사용하여 SSH 구성을 설정할 수 있습니다. Cloud Foundry와 같은 클라우드 환경에서는 ephemeral하거나 쉽게 액세스할 수 없는 로컬 파일 시스템을 사용할 수 있습니다. 이러한 경우, Java 속성을 사용하여 SSH 구성을 설정할 수 있습니다. 속성 기반 SSH 구성을 활성화하려면, spring.cloud.config.server.git.ignoreLocalSshSettings 속성을 true로 설정해야 합니다. privateKey, hostKey, hostKeyAlgorithm, strictHostKeyChecking, knownHostsFile 및 preferredAuthentications 속성을 사용하여 SSH 구성을 설정할 수 있습니다. (출처: <https://docs.spring.io/spring-cloud-config/reference/html/#spring-cloud-config-server-environment-repository-git-backend>)"
"Spring Cloud Config Server에서 Git 리포지토리에서 강제 풀을 구성하려면 어떻게 해야 하나요?","Git 리포지토리에서 강제 풀을 구성하려면, spring.cloud.config.server.git.force-pull 속성을 true로 설정하면 됩니다. 이 속성은 기본 복사본이 더러워진 경우(예: OS 프로세스에 의해 폴더 내용이 변경된 경우) Config Server가 원격 리포지토리에서 강제 푸시하도록 만듭니다. 다중 리포지토리 구성이 있는 경우, 각 리포지토리마다 force-pull 속성을 구성할 수 있습니다. force-pull 속성의 기본값은 false입니다. (출처: <https://docs.spring.io/spring-cloud-config/reference/html/#spring-cloud-config-server-environment-repository-git-backend>)"
"VCS 기반 백엔드(git, svn)에서 Spring Cloud Config Server가 파일을 체크아웃하거나 클론하는 위치는 어디인가요?","VCS 기반 백엔드(git, svn)에서 Spring Cloud Config Server가 파일을 체크아웃하거나 클론할 때, 기본적으로 시스템 임시 디렉토리에 config-repo- 접두사가 붙은 디렉토리에 파일을 저장합니다. 예를 들어, 리눅스에서는 /tmp/config-repo-<randomid>와 같은 경로에 저장될 수 있습니다. (출처: https://docs.spring.io/spring-cloud-config/reference/server/environment-repository/version-control-backend-filesystem-use.html)"
"Spring Cloud Config Server가 사용하는 디렉토리를 시스템 임시 디렉토리에서 변경하려면 어떻게 해야 하나요?","Spring Cloud Config Server가 사용하는 디렉토리를 시스템 임시 디렉토리에서 변경하려면, spring.cloud.config.server.git.basedir 또는 spring.cloud.config.server.svn.basedir 속성을 설정하여 시스템 임시 구조에 속하지 않는 디렉토리로 변경할 수 있습니다. (출처: https://docs.spring.io/spring-cloud-config/reference/server/environment-repository/version-control-backend-filesystem-use.html)"
"Spring Cloud Config Server가 시스템 임시 디렉토리에 저장된 파일을 사용하는 경우, 어떤 문제가 발생할 수 있나요?","Spring Cloud Config Server가 시스템 임시 디렉토리에 저장된 파일을 사용하는 경우, 일부 운영 체제에서는 임시 디렉토리를 정기적으로 정리할 수 있어, 프로퍼티 파일이 사라지는 등의 문제가 발생할 수 있습니다. 이 문제를 방지하기 위해, Config Server가 사용하는 디렉토리를 시스템 임시 디렉토리가 아닌 다른 디렉토리로 변경해야 합니다. (출처: https://docs.spring.io/spring-cloud-config/reference/server/environment-repository/version-control-backend-filesystem-use.html)"
"스프링 클라우드 Config Server에서 'native' 프로필은 어떤 역할을 하며, 어떻게 활성화할 수 있나요?","스프링 클라우드 Config Server에서 'native' 프로필은 Git을 사용하지 않고 로컬 클래스패스나 파일 시스템에서 구성 파일을 로드하는 프로필입니다. 이 프로필을 사용하려면 Config Server를 spring.profiles.active=native로 실행하면 됩니다. 파일 리소스에는 file: 접두사를 사용하는 것을 기억하세요. (접두사가 없는 경우 기본적으로 클래스패스가 사용됩니다.)"
"파일 시스템 백엔드를 사용하여 Config Server를 프로덕션에서 사용하는 방법은 무엇인가요?","파일 시스템 백엔드를 사용하여 Config Server를 프로덕션에서 사용하려면 파일 시스템이 Config Server의 모든 인스턴스에서 공유되고 안정적인지 확인해야 합니다. searchLocations에는 {application}, {profile}, {label}에 대한 플레이스홀더를 포함할 수 있으며, 이를 통해 경로에서 디렉토리를 분리하고 애플리케이션당 하위 디렉토리 또는 프로필당 하위 디렉토리와 같은 전략을 선택할 수 있습니다."
"스프링 클라우드 Config Server에서 파일 시스템 백엔드를 사용할 때, searchLocations에 플레이스홀더를 포함하지 않으면 어떤 동작이 발생하나요?","스프링 클라우드 Config Server에서 파일 시스템 백엔드를 사용할 때 searchLocations에 플레이스홀더를 포함하지 않으면, 리포지토리는 검색 경로에 레이블 매개변수를 추가하고 레이블과 동일한 이름의 하위 디렉토리에서 속성 파일을 로드합니다. 따라서 플레이스홀더가 없는 기본 동작은 /{label}/으로 끝나는 검색 위치를 추가하는 것과 동일합니다. 예를 들어, file:/tmp/config는 file:/tmp/config,file:/tmp/config/{label}와 동일합니다. 이 동작은 spring.cloud.cloud.config.server.native.addLabelLocations=false로 설정하여 비활성화할 수 있습니다."
"Spring Cloud Config Server에서 Vault 백엔드를 사용하려면 어떻게 해야 하나요?","config server의 application.properties 파일에 spring.profiles.active=vault를 추가하여 vault 프로필로 config server를 실행하면 됩니다. 기본적으로 Spring Cloud Config Server는 Vault에서 구성을 가져오기 위해 Token 기반 인증을 사용합니다."
"Spring Cloud Config Server에서 Vault 백엔드를 사용할 때 어떤 구성 가능한 속성을 사용할 수 있나요?","host, port, scheme, backend, defaultKey, profileSeparator, kvVersion, skipSslValidation, timeout, namespace 등의 속성을 구성할 수 있습니다. 이러한 속성은 모두 spring.cloud.config.server.vault 접두사를 붙여야 합니다."
"Spring Cloud Config Server와 Vault 간의 인증에 Spring Vault Core를 어떻게 사용하나요?","Config Server 앱에 spring-vault-core 종속성을 추가하면 TOKEN 또는 X-Config-Token 헤더 이외의 인증 방법을 사용할 수 있습니다. Spring Cloud Vault에서 지원하는 것과 동일한 구성 속성을 사용하여 인증 방법을 설정할 수 있습니다."
"스프링 클라우드 Config 서버에서 Git 또는 Vault 백엔드에 프록시를 통해 액세스하려면 어떻게 설정해야 하나요?","스프링 클라우드 Config 서버에서 Git 또는 Vault 백엔드에 프록시를 통해 액세스하려면 proxy.http 및 proxy.https 설정 아래의 설정을 구성해야 합니다. 또한, 각 백엔드에 대해 프록시 설정을 구성해야 합니다. HTTP 및 HTTPS URL에 대해 별도의 프록시 서버가 필요한 경우, 단일 백엔드에 대해 HTTP 및 HTTPS 프록시 설정을 모두 구성할 수 있습니다. 이 경우, http 액세스는 http 프록시를 사용하고, https 액세스는 https 프록시를 사용합니다. 또한, 프로토콜 정의 프로토콜을 사용하여 두 프로토콜에 대해 하나의 공통 프록시를 지정할 수 있습니다. 다음 표는 HTTP 및 HTTPS 프록시의 프록시 구성 속성을 설명합니다. 이러한 속성은 모두 proxy.http 또는 proxy.https로 접두사가 지정되어야 합니다."
"스프링 클라우드 Config 서버에서 Git 또는 Vault 백엔드에 대한 프록시 구성 속성은 무엇인가요?","스프링 클라우드 Config 서버에서 Git 또는 Vault 백엔드에 대한 프록시 구성 속성은 다음과 같습니다: host, port, nonProxyHosts, username, password. 이러한 속성은 모두 proxy.http 또는 proxy.https로 접두사가 지정되어야 합니다. 이러한 속성에 대한 자세한 설명은 제공된 정보에서 확인할 수 있습니다."
