"Spring Cloud Gateway는 어떤 프로젝트인가요?","Spring Cloud Gateway는 Spring Ecosystem을 기반으로 한 API Gateway를 제공하는 프로젝트로, Spring 6, Spring Boot 3, 그리고 Project Reactor를 포함하고 있습니다. 이 프로젝트는 API를 라우팅하고 보안, 모니터링/메트릭, 리질리언스와 같은 공통 관심사를 제공하는 간단하면서도 효과적인 방법을 목표로 합니다. (출처: <https://docs.spring.io/spring-cloud-gateway/reference/index.html>)"
"Spring Cloud Gateway의 두 가지 다른 플레이버는 무엇인가요?","Spring Cloud Gateway의 두 가지 플레이버는 Server와 Proxy Exchange입니다. 각 플레이버는 WebFlux 및 MVC 호환성을 제공합니다. Server 플레이버는 독립 실행형 또는 Spring Boot 애플리케이션에 내장될 수 있는 완전한 기능을 갖춘 API 게이트웨이입니다. Proxy Exchange 플레이버는 어노테이션 기반 WebFlux 또는 MVC 애플리케이션에서만 사용할 수 있으며, 특별한 ProxyExchange 개체를 웹 핸들러 메서드의 매개변수로 사용할 수 있습니다. (출처: <https://docs.spring.io/spring-cloud-gateway/reference/index.html>)"
"Spring Cloud Gateway의 Server 플레이버는 어떤 특징을 가지고 있나요?","Spring Cloud Gateway의 Server 플레이버는 완전한 기능을 갖춘 API 게이트웨이로, 독립 실행형 또는 Spring Boot 애플리케이션에 내장될 수 있습니다. 이는 API를 라우팅하고 보안, 모니터링/메트릭, 리질리언스와 같은 공통 관심사를 제공하는 간단하면서도 효과적인 방법을 목표로 합니다. (출처: <https://docs.spring.io/spring-cloud-gateway/reference/index.html>)"
"Spring Cloud Gateway의 주요 구성 요소는 무엇인가요?","Spring Cloud Gateway의 주요 구성 요소는 Filter, Route, Predicate입니다. Filter는 들어오는 요청이나 나가는 응답을 수정하는 역할을 하며, Route는 요청을 특정 핸들러로 라우팅하는 역할을 합니다. Predicate는 들어오는 요청을 필터링하여 특정 Route로 라우팅할지 여부를 결정하는 역할을 합니다. (Source: https://docs.spring.io/spring-cloud-gateway/reference/spring-cloud-gateway.html)"
"Spring Cloud Gateway에서 Predicate를 어떻게 작성하나요?","Spring Cloud Gateway에서 Predicate는 Spring Expression Language (SpEL)을 사용하여 작성할 수 있습니다. Predicate는 들어오는 요청을 검사하고 특정 조건을 만족하는지 여부를 확인하여 Route로 라우팅할지 여부를 결정합니다. (Source: https://docs.spring.io/spring-cloud-gateway/reference/spring-cloud-gateway.html)"
"Spring Cloud Gateway에서 필터(Filter)를 어떻게 작성하나요?","Spring Cloud Gateway에서 필터(Filter)는 Spring Cloud Gateway의 필터 체인(filter chain)에 추가되어 들어오는 요청이나 나가는 응답을 수정하는 역할을 합니다. 필터는 Spring Cloud Gateway의 필터 팩토리(filter factory)를 사용하여 작성할 수 있으며, 필터 팩토리는 필터 체인에 추가될 필터를 생성하는 역할을 합니다. (Source: https://docs.spring.io/spring-cloud-gateway/reference/spring-cloud-gateway.html)"
"스프링 클라우드 게이트웨이에서 라우트는 무엇인가요?","스프링 클라우드 게이트웨이에서 라우트는 게이트웨이의 기본 구성 요소입니다. 라우트는 ID, 대상 URI, 예측 표현식 모음 및 필터 모음으로 정의됩니다. 라우트는 집계 예측 표현식이 true인 경우 일치합니다. (출처: https://docs.spring.io/spring-cloud-gateway/reference/spring-cloud-gateway/glossary.html)"
"스프링 클라우드 게이트웨이에서 예측 표현식은 무엇인가요?","스프링 클라우드 게이트웨이에서 예측 표현식은 Java 8 Function Predicate입니다. 입력 유형은 Spring Framework ServerWebExchange입니다. 이를 통해 HTTP 요청의 헤더 또는 매개 변수와 같은 모든 항목에 대해 일치시킬 수 있습니다. (출처: https://docs.spring.io/spring-cloud-gateway/reference/spring-cloud-gateway/glossary.html)"
"스프링 클라우드 게이트웨이에서 필터는 무엇인가요?","스프링 클라우드 게이트웨이에서 필터는 GatewayFilter의 인스턴스입니다. 필터는 특정 팩토리로 구성됩니다. 여기서 다운스트림 요청을 보내기 전 또는 후에 요청 및 응답을 수정할 수 있습니다. (출처: https://docs.spring.io/spring-cloud-gateway/reference/spring-cloud-gateway/glossary.html)"
"스프링 클라우드 게이트웨이는 어떤 과정을 통해 클라이언트의 요청을 처리하나요?","스프링 클라우드 게이트웨이는 Gateway Handler Mapping을 통해 요청이 경로와 일치하는지 확인하고, 일치하는 경우 Gateway Web Handler로 전송합니다. 이 핸들러는 요청에 특정한 필터 체인을 실행합니다. 필터는 점선으로 구분되어 있으며, 프록시 요청이 전송되기 전과 후에 로직을 실행할 수 있습니다. 모든 'pre' 필터 로직이 실행되고, 프록시 요청이 전송된 후 'post' 필터 로직이 실행됩니다. (출처: https://docs.spring.io/spring-cloud-gateway/reference/spring-cloud-gateway/how-it-works.html)"
"스프링 클라우드 게이트웨이에서 정의된 경로의 URI에 포트가 정의되어 있지 않을 때 어떤 기본 포트가 사용되나요?","스프링 클라우드 게이트웨이에서 정의된 경로의 URI에 포트가 정의되어 있지 않을 경우, HTTP URI의 경우 80, HTTPS URI의 경우 443의 기본 포트가 사용됩니다. (출처: https://docs.spring.io/spring-cloud-gateway/reference/spring-cloud-gateway/how-it-works.html)"
"스프링 클라우드 게이트웨이에서 필터는 어떤 역할을 하며, 필터는 어떤 순서로 실행되나요?","스프링 클라우드 게이트웨이에서 필터는 들어오는 요청과 나가는 응답에 대한 처리를 담당합니다. 필터는 점선으로 구분되어 있으며, 프록시 요청이 전송되기 전과 후에 로직을 실행할 수 있습니다. 모든 'pre' 필터 로직이 실행되고, 프록시 요청이 전송된 후 'post' 필터 로직이 실행됩니다. (출처: https://docs.spring.io/spring-cloud-gateway/reference/spring-cloud-gateway/how-it-works.html)"
