"Spring Cloud Kubernetes는 무엇인가요?","Spring Cloud Kubernetes는 개발자가 Kubernetes에서 Spring Cloud 애플리케이션을 구축하고 실행할 수 있도록 잘 알려진 Spring Cloud 인터페이스의 구현을 제공하는 프로젝트입니다. (출처: https://docs.spring.io/spring-cloud-kubernetes/reference/index.html)"
"Spring Cloud Kubernetes를 사용해야 하는 이유는 무엇인가요?","Spring Cloud Kubernetes는 Kubernetes에서 클라우드 네이티브 애플리케이션을 구축할 때 유용하지만, Spring Boot 앱을 Kubernetes에 배포하는 데 필수적인 것은 아닙니다. Kubernetes에서 Spring Boot 앱을 실행하기 시작하려면 기본 Spring Boot 앱과 Kubernetes 자체만으로 많은 작업을 수행할 수 있습니다. 자세한 내용은 Spring Boot 참조 문서에서 Kubernetes 배포에 대한 내용을 읽고(https://docs.spring.io/spring-boot/docs/current/reference/htmlsingle/#cloud-deployment-kubernetes) Spring 및 Kubernetes 워크샵 자료를 참조하세요(https://hackmd.io/@ryanjbaxter/spring-on-k8s-workshop). (출처: https://docs.spring.io/spring-cloud-kubernetes/reference/index.html)"
"Spring Cloud Kubernetes에서 구성 속성을 어떻게 확인할 수 있나요?","모든 Kubernetes 관련 구성 속성의 목록을 보려면 부록 페이지(appendix.html)를 확인하세요. (출처: https://docs.spring.io/spring-cloud-kubernetes/reference/index.html)"
"스프링 클라우드에서 스타터(Starters)란 무엇인가요?","스프링 클라우드에서 스타터(Starters)는 애플리케이션에 포함할 수 있는 편리한 의존성 설명자입니다. 스타터를 포함하면 해당 기능 세트에 대한 의존성과 스프링 부트 자동 구성을 얻을 수 있습니다. (출처: https://docs.spring.io/spring-cloud-kubernetes/reference/htmlsingle/)"
"스프링 클라우드에서 Fabric8 Kubernetes Java Client와 Kubernetes Java Client를 함께 사용할 수 있나요?","아니요, Fabric8과 Kubernetes Java Client의 스타터를 함께 사용할 수는 없습니다. 사용할 라이브러리를 선택하고 해당 라이브러리의 스타터만 사용해야 합니다. (출처: https://docs.spring.io/spring-cloud-kubernetes/reference/htmlsingle/)"
"스프링 클라우드에서 Kubernetes ConfigMaps와 Secrets에서 애플리케이션 속성을 로드하는 방법은 무엇인가요?","Fabric8 또는 Kubernetes Client 스타터와 spring-cloud-starter-kubernetes-fabric8-config 또는 spring-cloud-starter-kubernetes-client-config를 사용하여 Kubernetes ConfigMaps와 Secrets에서 애플리케이션 속성을 로드할 수 있습니다. 해당 스타터를 사용하면 ConfigMap 또는 Secret이 변경될 때 애플리케이션 속성을 다시 로드할 수도 있습니다. (출처: https://docs.spring.io/spring-cloud-kubernetes/reference/htmlsingle/)"
"스프링 클라우드에서 Kubernetes용 DiscoveryClient는 무엇인가요?","스프링 클라우드의 DiscoveryClient for Kubernetes는 Kubernetes API 서버에서 서비스를 이름으로 조회할 수 있는 구현체입니다. 이 클라이언트는 주로 Spring Boot 애플리케이션에서 사용되며, Kubernetes API 서버에서 서비스를 찾을 수 있습니다. 이 클라이언트는 ExternalName 서비스 타입도 찾을 수 있습니다. 이를 사용하려면 spring.cloud.kubernetes.discovery.include-external-name-services 속성을 true로 설정해야 합니다."
"스프링 클라우드에서 Kubernetes용 DiscoveryClient를 활성화하려면 어떻게 해야 하나요?","스프링 클라우드에서 Kubernetes용 DiscoveryClient를 활성화하려면 해당 구성 또는 애플리케이션 클래스에 @EnableDiscoveryClient를 추가하면 됩니다. 그리고 @Autowired를 사용하여 코드에 클라이언트를 주입할 수 있습니다."
"Kubernetes용 DiscoveryClient에서 필터링과 네임스페이스 선택은 어떻게 이루어지나요?","Kubernetes용 DiscoveryClient는 서비스 레이블과 SpEL 표현식을 사용하여 필터링할 수 있으며, 스프링.클라우드.쿠버네티스.디스커버리.네임스페이스 속성을 사용하여 네임스페이스를 선택할 수 있습니다. 기본적으로 DiscoveryClient는 모든 네임스페이스에서 서비스를 검색하지만, selective namespaces, all-namespaces 또는 one namespace를 선택하여 검색할 수도 있습니다."
"Kubernetes에서 네이티브 서비스 디스커버리를 사용하는 이유는 무엇인가요?","Istio와 같은 추가 도구와의 호환성을 보장하고, 로드 밸런싱, 서킷 브레이커, 장애 조치 등의 기능을 제공하기 때문입니다. (출처: https://docs.spring.io/spring-cloud-kubernetes/reference/discovery-kubernetes-native.html)"
"Kubernetes 네이티브 서비스 디스커버리를 사용하여 호출자에서 서비스에 어떻게 접근할 수 있나요?","호출자 서비스는 특정 Kubernetes 클러스터에서 해결 가능한 이름을 참조하면 됩니다. 예를 들어, RestTemplate을 사용하여 {service-name}.{namespace}.svc.{cluster}.local:{service-port}와 같은 정규화된 도메인 이름을 사용할 수 있습니다. (출처: https://docs.spring.io/spring-cloud-kubernetes/reference/discovery-kubernetes-native.html)"
"Kubernetes 네이티브 서비스 디스커버리와 함께 Hystrix를 사용하는 목적은 무엇인가요?","호출자 측에서 서킷 브레이커 구현을 제공하고, 해당 메서드에 @HystrixCommand 어노테이션을 사용하여 장애 조치 기능을 추가할 수 있습니다. (출처: https://docs.spring.io/spring-cloud-kubernetes/reference/discovery-kubernetes-native.html)"
"Spring Cloud Kubernetes에서 Kubernetes ConfigMap을 PropertySource로 사용하는 방법은 무엇인가요?","Spring Cloud Kubernetes 프로젝트는 애플리케이션 시작 시 Kubernetes ConfigMap 인스턴스를 사용할 수 있게 하며, 관찰된 ConfigMap 인스턴스에서 변경 사항이 감지되면 빈 또는 Spring 컨텍스트의 핫 리로딩을 트리거합니다. ConfigMap은 애플리케이션에 전달할 매개 변수를 키-값 쌍 또는 임베디드 application.properties 또는 application.yaml 파일 형태로 외부화하는 데 사용됩니다. ConfigMap PropertySource를 사용하려면 spring.cloud.kubernetes.config.enabled 속성을 true로 설정해야 합니다."
"Spring Cloud Kubernetes에서 ConfigMap을 사용하여 여러 ConfigMap 인스턴스를 처리하는 방법은 무엇인가요?","spring.cloud.kubernetes.config.sources 목록을 사용하여 여러 ConfigMap 인스턴스를 사용할 수 있습니다. ConfigMap 인스턴스의 metadata.name은 spring.cloud.kubernetes.config.name 값, Spring 애플리케이션의 값 또는 문자열 리터럴 'application' 중 하나와 일치해야 합니다. 일치하는 ConfigMap이 발견되면 개별 구성 속성을 적용하고, spring.application.name 값으로 명명된 속성의 내용을 application.yaml/properties로 처리하며, spring.application.name + 각 활성 프로필의 내용을 properties 파일로 적용합니다."
"Spring Cloud Kubernetes에서 ConfigMap을 사용하여 활성 프로필에 따라 Spring Boot 애플리케이션을 구성하는 방법은 무엇인가요?","ConfigMap에 프로필별 값을 지정하여 다른 프로필에 대해 다른 속성 값을 제공할 수 있습니다. 각 프로필은 자체 문서(--- 시퀀스로 표시)에 지정됩니다. ConfigMap을 읽을 때 프로필별 소스는 비프로필별 소스보다 우선하며, 일반 속성은 프로필 및 비프로필별 소스보다 우선합니다."
"보안상의 이유로 Kubernetes의 Secrets를 API를 통해 소비하는 것은 기본적으로 활성화되어 있나요?","아니요, 보안상의 이유로 기본적으로 비활성화되어 있습니다. 권한 'list'는 클라이언트가 지정된 네임스페이스에서 시크릿 값을 검사할 수 있도록 허용합니다. 대신 컨테이너가 마운트된 볼륨을 통해 시크릿을 공유하는 것이 권장됩니다. API를 통해 시크릿을 소비하도록 활성화하는 경우, RBAC와 같은 권한 정책을 사용하여 시크릿에 대한 액세스를 제한하는 것이 좋습니다. API를 통해 시크릿을 소비할 때 발생하는 위험과 모범 사례에 대한 자세한 내용은 다음 문서를 참조하십시오: https://kubernetes.io/docs/concepts/configuration/secret/#best-practices. (출처: https://docs.spring.io/spring-cloud-kubernetes/reference/property-source-config/secrets-propertysource.html)"
"Kubernetes의 Secrets를 Spring Boot 애플리케이션에서 사용하려면 어떻게 활성화해야 하나요?","spring.cloud.kubernetes.secrets.enabled 속성을 설정하여 이 기능을 명시적으로 활성화하거나 비활성화할 수 있습니다. 활성화되면 Fabric8SecretsPropertySource는 다음 소스에서 Kubernetes의 Secrets를 검색합니다: 시크릿 마운트에서 재귀적으로 읽기, 애플리케이션 이름과 일치하는 이름, 일부 레이블과 일치하는 이름. 기본적으로 API를 통해 시크릿을 소비하는 것은 보안상의 이유로 활성화되어 있지 않습니다. API를 통해 시크릿을 소비하도록 활성화하는 경우 RBAC와 같은 권한 정책을 사용하여 시크릿에 대한 액세스를 제한하는 것이 좋습니다. (출처: https://docs.spring.io/spring-cloud-kubernetes/reference/property-source-config/secrets-propertysource.html)"
"Spring Boot 애플리케이션에서 Secrets를 소비하려면 어떤 방법을 사용할 수 있나요?","여러 가지 방법으로 Secrets를 소비할 수 있습니다. 시크릿이 매핑된 디렉토리를 나열하거나, 이름 있는 시크릿을 설정하거나, 레이블 목록을 정의할 수 있습니다. 고급 구성에서는 여러 시크릿 인스턴스를 사용할 수 있으며, spring.cloud.kubernetes.secrets.sources 목록을 사용하여 이를 가능하게 할 수 있습니다. 예를 들어, 다음과 같이 시크릿 인스턴스를 정의할 수 있습니다: spring.cloud.kubernetes.secrets.sources = [name: s1, namespace: n2, name: s3, namespace: n3]. (출처: https://docs.spring.io/spring-cloud-kubernetes/reference/property-source-config/secrets-propertysource.html)"
"스프링 클라우드 카부스(Kubernetes)에서 애플리케이션 네임스페이스를 찾는 방법은 무엇인가요?","스프링 클라우드 카부스(Kubernetes)에서 애플리케이션 네임스페이스를 찾는 방법은 최선의 노력으로 이루어집니다. 이를 위해 몇 가지 단계를 반복합니다. 가장 쉽고 일반적인 방법은 적절한 구성에서 지정하는 것입니다. 예를 들어, spring.cloud.kubernetes.client.namespace 속성을 설정하거나, 지정된 클라이언트 메서드 호출(예: fabric8의 KubernetesClient::getNamespace)을 통해 설정할 수 있습니다. 실패 시 예외가 발생합니다. (출처: https://docs.spring.io/spring-cloud-kubernetes/reference/html/#namespace-resolution)"
"스프링 클라우드 카부스(Kubernetes)에서 네임스페이스를 지정하지 않았을 때 어떤 순서로 읽히나요?","스프링 클라우드 카부스(Kubernetes)에서 네임스페이스를 지정하지 않았을 때, spring.cloud.kubernetes.client.namespace 속성, spring.cloud.kubernetes.client.serviceAccountNamespacePath 속성에 지정된 파일에 있는 문자열, /var/run/secrets/kubernetes.io/serviceaccount/namespace 파일(카부스 기본 네임스페이스 경로), 지정된 클라이언트 메서드 호출(예: fabric8의 KubernetesClient::getNamespace) 순으로 읽힙니다. 클라이언트 문서를 참조하여 정확한 세부 정보를 확인하세요. (출처: https://docs.spring.io/spring-cloud-kubernetes/reference/html/#namespace-resolution)"
"스프링 클라우드 카부스(Kubernetes)에서 네임스페이스를 찾을 수 없을 때 어떤 동작이 발생하나요?","스프링 클라우드 카부스(Kubernetes)에서 네임스페이스를 찾을 수 없을 때 예외가 발생합니다. (출처: https://docs.spring.io/spring-cloud-kubernetes/reference/html/#namespace-resolution)"
"Spring Cloud Kubernetes에서 ConfigMaps와 Secrets가 모두 활성화된 경우, 공통 속성이 있는 경우 어떤 값이 우선되나요?","ConfigMap의 값이 우선되어 Secrets에 있는 값들을 덮어씁니다. (Source: https://docs.spring.io/spring-cloud-kubernetes/reference/html/#property-source-config-order-configmaps-secrets)"
"Spring Cloud Kubernetes에서 ConfigMaps와 Secrets의 차이점은 무엇인가요?","ConfigMaps는 설정 정보를 저장하고, Secrets는 민감한 정보를 안전하게 저장하고 관리합니다. (Source: https://docs.spring.io/spring-cloud-kubernetes/reference/html/#property-source-config-configmaps-secrets)"
