"Spring Shell은 어떤 목적으로 사용되나요?","Spring Shell은 사용자가 프로그램이 종료될 때까지 실행되는 텍스트 명령을 입력하는 대화형 터미널을 통해 애플리케이션과 상호 작용하는 가장 적절한 방법을 생성하는 데 사용됩니다. (출처: {https://docs.spring.io/spring-shell/reference/3.3/index.html})"
"Spring Shell은 어떤 기능을 제공하나요?","Spring Shell은 파싱, 탭 완성, 출력의 색상 지정, 화려한 ASCII 아트 테이블 표시, 입력 변환 및 유효성 검사와 같은 고급 기능을 제공하여 핵심 명령 로직에 집중할 수 있도록 합니다. (출처: {https://docs.spring.io/spring-shell/reference/3.3/index.html})"
"Spring Shell은 어떤 버전으로 사용 가능한가요?","Spring Shell은 3.3.3 버전으로 사용 가능합니다. (출처: {https://docs.spring.io/spring-shell/reference/3.3/index.html})"
"Spring Shell의 기반이 되는 Spring Boot와 Spring Framework의 버전은 무엇인가요?","Spring Shell은 Spring Boot 3.3.4와 Spring Framework 6.1.13을 기반으로 하며, JDK 17이 필요합니다. (출처: https://docs.spring.io/spring-shell/reference/3.3/getting-started.html)"
"Spring Shell을 사용하여 프로젝트를 생성하는 방법은 무엇인가요?","이 튜토리얼의 목적을 위해, 우리는 start.spring.io(https://start.spring.io)를 사용하여 간단한 Spring Boot 애플리케이션을 생성하고 Spring Shell 종속성을 선택할 수 있습니다. 이 최소한의 애플리케이션은 spring-boot-starter와 spring-shell-starter에만 의존합니다. start.spring.io의 Spring Shell 버전은 일반적으로 최신 릴리스입니다. (출처: https://docs.spring.io/spring-shell/reference/3.3/getting-started.html)"
"Spring Shell 애플리케이션에서 REPL(Read-Eval-Print-Loop)을 시작하려면 어떤 설정이 필요한가요?","Spring Shell은 이 종속성이 존재하기 때문에 REPL(Read-Eval-Print-Loop)을 시작합니다. 이 튜토리얼에서는 빌드할 때 테스트를 건너뛰거나( -DskipTests ) start.spring.io(https://start.spring.io)에서 생성된 샘플 통합 테스트를 제거해야 합니다. 그렇지 않으면 통합 테스트가 Spring ApplicationContext를 생성하고 빌드 도구에 따라 eval 루프에 갇히거나 NPE로 충돌할 수 있습니다. (출처: https://docs.spring.io/spring-shell/reference/3.3/getting-started.html)"
"스프링 쉘을 이전 버전에서 업그레이드하는 방법은 무엇인가요?","스프링 쉘을 이전 버전에서 업그레이드하는 방법은 프로젝트 위키(https://github.com/spring-projects/spring-shell/wiki)에서 확인할 수 있습니다. 릴리스 노트 섹션의 링크를 따라가세요."
"스프링 쉘을 업그레이드하는 방법에 대한 지침은 어떤 문서를 참고해야 하나요?","스프링 쉘을 업그레이드하는 방법에 대한 지침은 프로젝트 위키(https://github.com/spring-projects/spring-shell/wiki)에서 확인할 수 있습니다. 릴리스 노트 섹션의 링크를 따라가세요."
"스프링 쉘을 업그레이드할 때 도움이 되는 문서는 어디에 있나요?","스프링 쉘을 업그레이드할 때 도움이 되는 문서는 프로젝트 위키(https://github.com/spring-projects/spring-shell/wiki)에 있습니다. 릴리스 노트 섹션의 링크를 따라가세요."
"Spring Shell의 기본 개념은 무엇인가요?","Spring Shell은 명령어와 옵션을 정의하기 전에 Spring Boot 애플리케이션을 생성하고, 명령어와 옵션을 정의하고, 애플리케이션을 패키징하고, 애플리케이션을 실행하는 등 몇 가지 기본 개념이 있습니다. (출처: <https://docs.spring.io/spring-shell/reference/3.3/basics/index.html>) "
